CN		PY	EN			URL	CGW
妈妈，我<span class="target">可以</span>出去玩吗？		Māma, wǒ <span class="target">kěyǐ</span> chūqù wán ma?	"Mom, <span class="target">may</span> I go out and play?"			<a href="https://resources.allsetlearning.com/chinese/grammar/ASG6SPYK">A1: Expressing permission with "keyi"</a>	CGW
我可以在这里<font color="#a6e22e">停车</font>吗？		Wǒ <span class="target">kěyǐ</span> zài zhèlǐ tíngchē ma?	"<span class="target">Can</span> I park here?"			<a href="https://resources.allsetlearning.com/chinese/grammar/ASG6SPYK">A1: Expressing permission with "keyi"</a>	CGW
我<span class="target">可以</span><font color="#a6e22e">进来</font>吗？		Wǒ <span class="target">kěyǐ</span> jìnlái ma?	"<span class="target">May</span> I come in?"			<a href="https://resources.allsetlearning.com/chinese/grammar/ASG6SPYK">A1: Expressing permission with "keyi"</a>	CGW
孩子<span class="target">不可以</span>看这个。		Háizi <span class="target">bù kěyǐ</span> kàn zhège.	"Children <span class="target">can't</span> watch this."			<a href="https://resources.allsetlearning.com/chinese/grammar/ASG6SPYK">A1: Expressing permission with "keyi"</a>	CGW
我们都<span class="target">不可以</span>去。		Wǒmen dōu <span class="target">bù kěyǐ</span> qù.	"<span class="target">None</span> of us <span class="target">may</span> go."			<a href="https://resources.allsetlearning.com/chinese/grammar/ASG6SPYK">A1: Expressing permission with "keyi"</a>	CGW
这里不可以<font color="#a6e22e">抽烟</font>。		Zhèlǐ <span class="target">bù kěyǐ</span> chōuyān.	"You <span class="target">can't</span> smoke here."			<a href="https://resources.allsetlearning.com/chinese/grammar/ASG6SPYK">A1: Expressing permission with "keyi"</a>	CGW
<table class="table table-striped table-bordered table-hover"><tbody><tr><th width="8%">Audio</th><th width="20%">Chinese</th><th width="20%">We Write</th><th width="20%">We Say</th><th width="32%">English</th></tr><tr><td><div id="audioContainer-bu4dui4" class="audio-container"></div><span id="syllable" style="display:none;">bu4dui4</span><svg id="playIcon-bu4dui4" class="play-icon" fill="#000000" height="36" viewBox="0 0 24 24" width="36" xmlns="http://www.w3.org/2000/svg"><path d="M0 0h24v24H0z" fill="none"/><path d="M10 16.5l6-4.5-6-4.5v9zM12 2C6.48 2 2 6.48 2 12s4.48 10 10 10 10-4.48 10-10S17.52 2 12 2zm0 18c-4.41 0-8-3.59-8-8s3.59-8 8-8 8 3.59 8 8-3.59 8-8 8z"/></svg><script>function deferbu4dui4(method) {if (window.jQuery) {method();} else {setTimeout(function() { deferbu4dui4(method) }, 50);}}var playFilebu4dui4 = function() {var soundUrl = 'https://resources.allsetlearning.com/pronwiki/resources/a2-tone-changes/bu4dui4.mp3';soundUrl = soundUrl.replace('ü', 'u%CC%88');$('#audioContainer-bu4dui4').append('<audio src="' + soundUrl + '" type="audio/mpeg" preload></audio>');$('#audioContainer-bu4dui4').children().get(0).onended = function () {$('#playIcon').removeClass('playing');};$('#playIcon-bu4dui4').click(function () {var $audioDiv = $('#audioContainer-bu4dui4');$audioDiv.children().get(0).pause();$audioDiv.children().get(0).play();$('#playIcon-bu4dui4').addClass('playing');});}deferbu4dui4(playFilebu4dui4);</script></td><td>不 对</td><td></td><td></td><td></td></tr><tr><td><div id="audioContainer-bu4yao4" class="audio-container"></div><span id="syllable" style="display:none;">bu4yao4</span><svg id="playIcon-bu4yao4" class="play-icon" fill="#000000" height="36" viewBox="0 0 24 24" width="36" xmlns="http://www.w3.org/2000/svg"><path d="M0 0h24v24H0z" fill="none"/><path d="M10 16.5l6-4.5-6-4.5v9zM12 2C6.48 2 2 6.48 2 12s4.48 10 10 10 10-4.48 10-10S17.52 2 12 2zm0 18c-4.41 0-8-3.59-8-8s3.59-8 8-8 8 3.59 8 8-3.59 8-8 8z"/></svg><script>function deferbu4yao4(method) {if (window.jQuery) {method();} else {setTimeout(function() { deferbu4yao4(method) }, 50);}}var playFilebu4yao4 = function() {var soundUrl = 'https://resources.allsetlearning.com/pronwiki/resources/a2-tone-changes/bu4yao4.mp3';soundUrl = soundUrl.replace('ü', 'u%CC%88');$('#audioContainer-bu4yao4').append('<audio src="' + soundUrl + '" type="audio/mpeg" preload></audio>');$('#audioContainer-bu4yao4').children().get(0).onended = function () {$('#playIcon').removeClass('playing');};$('#playIcon-bu4yao4').click(function () {var $audioDiv = $('#audioContainer-bu4yao4');$audioDiv.children().get(0).pause();$audioDiv.children().get(0).play();$('#playIcon-bu4yao4').addClass('playing');});}deferbu4yao4(playFilebu4yao4);</script></td><td>不 要</td><td></td><td></td><td></td></tr><tr><td><div id="audioContainer-bu4zai4" class="audio-container"></div><span id="syllable" style="display:none;">bu4zai4</span><svg id="playIcon-bu4zai4" class="play-icon" fill="#000000" height="36" viewBox="0 0 24 24" width="36" xmlns="http://www.w3.org/2000/svg"><path d="M0 0h24v24H0z" fill="none"/><path d="M10 16.5l6-4.5-6-4.5v9zM12 2C6.48 2 2 6.48 2 12s4.48 10 10 10 10-4.48 10-10S17.52 2 12 2zm0 18c-4.41 0-8-3.59-8-8s3.59-8 8-8 8 3.59 8 8-3.59 8-8 8z"/></svg><script>function deferbu4zai4(method) {if (window.jQuery) {method();} else {setTimeout(function() { deferbu4zai4(method) }, 50);}}var playFilebu4zai4 = function() {var soundUrl = 'https://resources.allsetlearning.com/pronwiki/resources/a2-tone-changes/bu4zai4.mp3';soundUrl = soundUrl.replace('ü', 'u%CC%88');$('#audioContainer-bu4zai4').append('<audio src="' + soundUrl + '" type="audio/mpeg" preload></audio>');$('#audioContainer-bu4zai4').children().get(0).onended = function () {$('#playIcon').removeClass('playing');};$('#playIcon-bu4zai4').click(function () {var $audioDiv = $('#audioContainer-bu4zai4');$audioDiv.children().get(0).pause();$audioDiv.children().get(0).play();$('#playIcon-bu4zai4').addClass('playing');});}deferbu4zai4(playFilebu4zai4);</script></td><td>不 在</td><td></td><td></td><td></td></tr><tr><td><div id="audioContainer-bu4shi4" class="audio-container"></div><span id="syllable" style="display:none;">bu4shi4</span><svg id="playIcon-bu4shi4" class="play-icon" fill="#000000" height="36" viewBox="0 0 24 24" width="36" xmlns="http://www.w3.org/2000/svg"><path d="M0 0h24v24H0z" fill="none"/><path d="M10 16.5l6-4.5-6-4.5v9zM12 2C6.48 2 2 6.48 2 12s4.48 10 10 10 10-4.48 10-10S17.52 2 12 2zm0 18c-4.41 0-8-3.59-8-8s3.59-8 8-8 8 3.59 8 8-3.59 8-8 8z"/></svg><script>function deferbu4shi4(method) {if (window.jQuery) {method();} else {setTimeout(function() { deferbu4shi4(method) }, 50);}}var playFilebu4shi4 = function() {var soundUrl = 'https://resources.allsetlearning.com/pronwiki/resources/a2-tone-changes/bu4shi4.mp3';soundUrl = soundUrl.replace('ü', 'u%CC%88');$('#audioContainer-bu4shi4').append('<audio src="' + soundUrl + '" type="audio/mpeg" preload></audio>');$('#audioContainer-bu4shi4').children().get(0).onended = function () {$('#playIcon').removeClass('playing');};$('#playIcon-bu4shi4').click(function () {var $audioDiv = $('#audioContainer-bu4shi4');$audioDiv.children().get(0).pause();$audioDiv.children().get(0).play();$('#playIcon-bu4shi4').addClass('playing');});}deferbu4shi4(playFilebu4shi4);</script></td><td>不 是</td><td></td><td></td><td></td></tr><tr><td><div id="audioContainer-bu4qu4" class="audio-container"></div><span id="syllable" style="display:none;">bu4qu4</span><svg id="playIcon-bu4qu4" class="play-icon" fill="#000000" height="36" viewBox="0 0 24 24" width="36" xmlns="http://www.w3.org/2000/svg"><path d="M0 0h24v24H0z" fill="none"/><path d="M10 16.5l6-4.5-6-4.5v9zM12 2C6.48 2 2 6.48 2 12s4.48 10 10 10 10-4.48 10-10S17.52 2 12 2zm0 18c-4.41 0-8-3.59-8-8s3.59-8 8-8 8 3.59 8 8-3.59 8-8 8z"/></svg><script>function deferbu4qu4(method) {if (window.jQuery) {method();} else {setTimeout(function() { deferbu4qu4(method) }, 50);}}var playFilebu4qu4 = function() {var soundUrl = 'https://resources.allsetlearning.com/pronwiki/resources/a2-tone-changes/bu4qu4.mp3';soundUrl = soundUrl.replace('ü', 'u%CC%88');$('#audioContainer-bu4qu4').append('<audio src="' + soundUrl + '" type="audio/mpeg" preload></audio>');$('#audioContainer-bu4qu4').children().get(0).onended = function () {$('#playIcon').removeClass('playing');};$('#playIcon-bu4qu4').click(function () {var $audioDiv = $('#audioContainer-bu4qu4');$audioDiv.children().get(0).pause();$audioDiv.children().get(0).play();$('#playIcon-bu4qu4').addClass('playing');});}deferbu4qu4(playFilebu4qu4);</script></td><td>不 去</td><td></td><td></td><td></td></tr></tbody></table>		<table class="table table-striped table-bordered table-hover"><tbody><tr><th width="8%">Audio</th><th width="20%">Chinese</th><th width="20%">We Write</th><th width="20%">We Say</th><th width="32%">English</th></tr><tr><td><div id="audioContainer-bu4dui4" class="audio-container"></div><span id="syllable" style="display:none;">bu4dui4</span><svg id="playIcon-bu4dui4" class="play-icon" fill="#000000" height="36" viewBox="0 0 24 24" width="36" xmlns="http://www.w3.org/2000/svg"><path d="M0 0h24v24H0z" fill="none"/><path d="M10 16.5l6-4.5-6-4.5v9zM12 2C6.48 2 2 6.48 2 12s4.48 10 10 10 10-4.48 10-10S17.52 2 12 2zm0 18c-4.41 0-8-3.59-8-8s3.59-8 8-8 8 3.59 8 8-3.59 8-8 8z"/></svg><script>function deferbu4dui4(method) {if (window.jQuery) {method();} else {setTimeout(function() { deferbu4dui4(method) }, 50);}}var playFilebu4dui4 = function() {var soundUrl = 'https://resources.allsetlearning.com/pronwiki/resources/a2-tone-changes/bu4dui4.mp3';soundUrl = soundUrl.replace('ü', 'u%CC%88');$('#audioContainer-bu4dui4').append('<audio src="' + soundUrl + '" type="audio/mpeg" preload></audio>');$('#audioContainer-bu4dui4').children().get(0).onended = function () {$('#playIcon').removeClass('playing');};$('#playIcon-bu4dui4').click(function () {var $audioDiv = $('#audioContainer-bu4dui4');$audioDiv.children().get(0).pause();$audioDiv.children().get(0).play();$('#playIcon-bu4dui4').addClass('playing');});}deferbu4dui4(playFilebu4dui4);</script></td><td>不 对</td><td>bù duì</td><td><em>bú</em> duì</td><td>incorrect; wrong</td></tr><tr><td><div id="audioContainer-bu4yao4" class="audio-container"></div><span id="syllable" style="display:none;">bu4yao4</span><svg id="playIcon-bu4yao4" class="play-icon" fill="#000000" height="36" viewBox="0 0 24 24" width="36" xmlns="http://www.w3.org/2000/svg"><path d="M0 0h24v24H0z" fill="none"/><path d="M10 16.5l6-4.5-6-4.5v9zM12 2C6.48 2 2 6.48 2 12s4.48 10 10 10 10-4.48 10-10S17.52 2 12 2zm0 18c-4.41 0-8-3.59-8-8s3.59-8 8-8 8 3.59 8 8-3.59 8-8 8z"/></svg><script>function deferbu4yao4(method) {if (window.jQuery) {method();} else {setTimeout(function() { deferbu4yao4(method) }, 50);}}var playFilebu4yao4 = function() {var soundUrl = 'https://resources.allsetlearning.com/pronwiki/resources/a2-tone-changes/bu4yao4.mp3';soundUrl = soundUrl.replace('ü', 'u%CC%88');$('#audioContainer-bu4yao4').append('<audio src="' + soundUrl + '" type="audio/mpeg" preload></audio>');$('#audioContainer-bu4yao4').children().get(0).onended = function () {$('#playIcon').removeClass('playing');};$('#playIcon-bu4yao4').click(function () {var $audioDiv = $('#audioContainer-bu4yao4');$audioDiv.children().get(0).pause();$audioDiv.children().get(0).play();$('#playIcon-bu4yao4').addClass('playing');});}deferbu4yao4(playFilebu4yao4);</script></td><td>不 要</td><td>bù yào</td><td><em>bú</em> yào</td><td>to not want; do not (do something)</td></tr><tr><td><div id="audioContainer-bu4zai4" class="audio-container"></div><span id="syllable" style="display:none;">bu4zai4</span><svg id="playIcon-bu4zai4" class="play-icon" fill="#000000" height="36" viewBox="0 0 24 24" width="36" xmlns="http://www.w3.org/2000/svg"><path d="M0 0h24v24H0z" fill="none"/><path d="M10 16.5l6-4.5-6-4.5v9zM12 2C6.48 2 2 6.48 2 12s4.48 10 10 10 10-4.48 10-10S17.52 2 12 2zm0 18c-4.41 0-8-3.59-8-8s3.59-8 8-8 8 3.59 8 8-3.59 8-8 8z"/></svg><script>function deferbu4zai4(method) {if (window.jQuery) {method();} else {setTimeout(function() { deferbu4zai4(method) }, 50);}}var playFilebu4zai4 = function() {var soundUrl = 'https://resources.allsetlearning.com/pronwiki/resources/a2-tone-changes/bu4zai4.mp3';soundUrl = soundUrl.replace('ü', 'u%CC%88');$('#audioContainer-bu4zai4').append('<audio src="' + soundUrl + '" type="audio/mpeg" preload></audio>');$('#audioContainer-bu4zai4').children().get(0).onended = function () {$('#playIcon').removeClass('playing');};$('#playIcon-bu4zai4').click(function () {var $audioDiv = $('#audioContainer-bu4zai4');$audioDiv.children().get(0).pause();$audioDiv.children().get(0).play();$('#playIcon-bu4zai4').addClass('playing');});}deferbu4zai4(playFilebu4zai4);</script></td><td>不 在</td><td>bù zài</td><td><em>bú</em> zài</td><td>to not be (in a place)</td></tr><tr><td><div id="audioContainer-bu4shi4" class="audio-container"></div><span id="syllable" style="display:none;">bu4shi4</span><svg id="playIcon-bu4shi4" class="play-icon" fill="#000000" height="36" viewBox="0 0 24 24" width="36" xmlns="http://www.w3.org/2000/svg"><path d="M0 0h24v24H0z" fill="none"/><path d="M10 16.5l6-4.5-6-4.5v9zM12 2C6.48 2 2 6.48 2 12s4.48 10 10 10 10-4.48 10-10S17.52 2 12 2zm0 18c-4.41 0-8-3.59-8-8s3.59-8 8-8 8 3.59 8 8-3.59 8-8 8z"/></svg><script>function deferbu4shi4(method) {if (window.jQuery) {method();} else {setTimeout(function() { deferbu4shi4(method) }, 50);}}var playFilebu4shi4 = function() {var soundUrl = 'https://resources.allsetlearning.com/pronwiki/resources/a2-tone-changes/bu4shi4.mp3';soundUrl = soundUrl.replace('ü', 'u%CC%88');$('#audioContainer-bu4shi4').append('<audio src="' + soundUrl + '" type="audio/mpeg" preload></audio>');$('#audioContainer-bu4shi4').children().get(0).onended = function () {$('#playIcon').removeClass('playing');};$('#playIcon-bu4shi4').click(function () {var $audioDiv = $('#audioContainer-bu4shi4');$audioDiv.children().get(0).pause();$audioDiv.children().get(0).play();$('#playIcon-bu4shi4').addClass('playing');});}deferbu4shi4(playFilebu4shi4);</script></td><td>不 是</td><td>bù shì</td><td><em>bú</em> shì</td><td>to not be</td></tr><tr><td><div id="audioContainer-bu4qu4" class="audio-container"></div><span id="syllable" style="display:none;">bu4qu4</span><svg id="playIcon-bu4qu4" class="play-icon" fill="#000000" height="36" viewBox="0 0 24 24" width="36" xmlns="http://www.w3.org/2000/svg"><path d="M0 0h24v24H0z" fill="none"/><path d="M10 16.5l6-4.5-6-4.5v9zM12 2C6.48 2 2 6.48 2 12s4.48 10 10 10 10-4.48 10-10S17.52 2 12 2zm0 18c-4.41 0-8-3.59-8-8s3.59-8 8-8 8 3.59 8 8-3.59 8-8 8z"/></svg><script>function deferbu4qu4(method) {if (window.jQuery) {method();} else {setTimeout(function() { deferbu4qu4(method) }, 50);}}var playFilebu4qu4 = function() {var soundUrl = 'https://resources.allsetlearning.com/pronwiki/resources/a2-tone-changes/bu4qu4.mp3';soundUrl = soundUrl.replace('ü', 'u%CC%88');$('#audioContainer-bu4qu4').append('<audio src="' + soundUrl + '" type="audio/mpeg" preload></audio>');$('#audioContainer-bu4qu4').children().get(0).onended = function () {$('#playIcon').removeClass('playing');};$('#playIcon-bu4qu4').click(function () {var $audioDiv = $('#audioContainer-bu4qu4');$audioDiv.children().get(0).pause();$audioDiv.children().get(0).play();$('#playIcon-bu4qu4').addClass('playing');});}deferbu4qu4(playFilebu4qu4);</script></td><td>不 去</td><td>bù qù</td><td><em>bú</em> qù</td><td>to not go</td></tr></tbody></table>				<a href="https://resources.allsetlearning.com/chinese/grammar/ASGXVEAR">A2: Tone changes for "bu"</a>	CGW
星期二<span class="target">早上</span>我很忙。		Xīngqī'èr zǎoshang wǒ hěn máng.	I am busy on Tuesday morning.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGVH4Q5">A1: Structure of days of the week</a>	CGW
你<span class="target">星期天</span>要做什么？		Nǐ Xīngqītiān yào zuò shénme?	What are you doing on Sunday?			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGVH4Q5">A1: Structure of days of the week</a>	CGW
